query_id,text,length_words
19609,ibm pc compatible,3
8858,north america,2
78653,singing,1
14139,w,1
16744,regierungsbezirk,1
92897,north asia,2
9648,prince edward island,3
17974,indigenous peoples,2
17697,tennessee williams,2
6984,king arthur,2
5701,heracles,1
6031,isaac asimov,2
96373,iso 3166 1,3
13045,terrorism,1
4383,fiji,1
17280,action film,2
19488,extinction,1
14571,zoroastrianism,1
25024,bristol aeroplane company,3
12983,trinity,1
2451,covalent bond,2
1988,carl linnaeus,2
14514,zambia,1
32095,accipitridae,1
2654,central asia,2
20544,european colonization of the americas,5
7407,liechtenstein,1
14011,vancouver,1
27971,slayer,1
9262,musical note,2
11445,sony,1
669,assyria,1
15436,pali,1
12880,the hague,2
9591,poland,1
10918,rail transport,2
8884,neolithic,1
14758,budapest,1
9486,oceania,1
5130,gospel of matthew,3
22757,arcadia,1
5622,homer,1
14285,worcestershire,1
13954,vilnius,1
1415,baroque,1
95944,regions of italy,3
6402,iso 4217,2
10657,piedmont,1
21233,city of westminster,3
9882,perciformes,1
77688,new france,2
75277,east flanders,2
39079,ethnic group,2
8905,norway,1
5570,roman britain,2
21279,human body,2
13289,tarot,1
5476,hungary,1
9482,oscar wilde,2
7867,mtv,1
6952,korea,1
4852,gothenburg,1
12093,seleucid empire,2
26409,glasgow,1
8479,mainframe computer,2
30135,walloon brabant,2
12702,tamil nadu,2
34848,london borough of islington,4
93255,film producer,2
2889,commodore 64,2
35106,london borough of havering,4
25792,comarques of catalonia,3
1255,benin,1
3795,eindhoven,1
24052,michael caine,2
34224,south yorkshire,2
4916,gaza strip,2
4648,fifa world cup,3
1588,bohemia,1
593,arkansas,1
72190,act of parliament,3
81409,aust agder,2
1234,bulgaria,1
93823,provinces of spain,3
14121,world wide web,3
7902,muhammad,1
3307,digital data,2
26866,west end of london,4
18093,duchy of schleswig,3
94138,states of austria,3
24691,dionysus,1
25293,gloucester,1
84914,pennsylvania german language,3
21131,ub iwerks,2
8880,new brunswick,2
8103,morocco,1
24310,horn of africa,3
2126,costa rica,2
21547,marillion,1
6958,kent,1
29649,surveyor program,2
618,american revolution,2
20171,great plains,2
71725,ardennes,1
7898,manitoba,1
8055,mauritius,1
1070,associate justice of the supreme court of the united states,10
2018,czech republic,2
8003,maldives,1
18605,elizabethan era,2
58012,malay language,2
133,ancient egypt,2
12000,space shuttle,2
20466,zeeland,1
94586,house of commons,3
2366,calvinism,1
3314,david hilbert,2
76053,heian period,2
17592,legislature,1
11376,slovakia,1
14962,malayalam,1
8911,north korea,2
14077,west virginia,2
3133,david lynch,2
11783,science fiction on television,4
11953,hijackers in the september 11 attacks,6
3897,book of exodus,3
6092,iron age,2
350,anno domini,2
13960,vietnam war,2
84383,southwestern united states,3
15189,anglo saxons,2
5713,house of hohenzollern,3
26907,argos,1
19675,lockheed corporation,2
5220,german empire,2
10789,russia,1
4900,great lakes,2
98402,susquehanna river,2
7479,lake michigan,2
21382,bird of prey,3
86734,ethiopia,1
81421,vestfold,1
13424,tel aviv,2
10811,ronald reagan,2
23082,honshu,1
17973,arthur sullivan,2
71471,west sussex,2
6488,jurassic,1
23938,president of the republic of china,6
8713,montenegro,1
3684,english channel,2
48,american national standards institute,4
1222,gautama buddha,2
7870,michigan,1
4051,european commission,2
3256,devon,1
20744,south west england,3
15495,carnival,1
7353,laos,1
80976,1900 summer olympics,3
25406,sumerian language,2
8865,new wave music,3
1358,brassicaceae,1
35546,london borough of sutton,4
1322,bell labs,2
18164,spencer tracy,2
8084,moldova,1
21855,thessaly,1
2599,conservative judaism,2
11316,star wars,2
6468,japanese language,2
9106,new mexico,2
10814,romania,1
4948,greece,1
13326,tigris,1
21023,gamecube,1
71014,dumfries and galloway,3
39730,major arcana,2
20434,algonquian languages,2
31467,english law,2
25139,american league,2
1546,boxing,1
73969,sephardi jews,2
17430,franco prussian war,3
18159,pylos,1
9542,osi model,2
2302,cardiff,1
38258,peninsular war,2
13608,uruguay,1
10206,prime minister of the united kingdom,6
22492,kodak,1
23361,northumberland,1
9705,pakistan,1
90266,apennine mountains,2
28750,lake constance,2
18457,british royal family,3
20611,dutch republic,2
85802,vauxhall motors,2
290,augustus,1
4751,persian language,2
23826,university of london,3
27806,western hemisphere,2
24129,anne mccaffrey,2
11800,shanghai,1
9775,p,1
13591,uganda,1
23250,art nouveau,2
13660,united nations security council,4
71489,provinces of ireland,3
781,archbishop of canterbury,3
34119,island records,2
94580,second french empire,3
22478,brisbane river,2
99191,upper egypt,2
20232,umbria,1
26202,pinophyta,1
10804,rapping,1
11438,stanford university,2
12947,turing machine,2
3734,ecuador,1
23286,atlantic records,2
13044,taliban,1
70974,lao language,2
73090,northern california,2
5660,hispaniola,1
15827,aragon,1
17658,union of south africa,4
9110,new south wales,3
7371,lebanon,1
10927,taiwan,1
75155,dexys midnight runners,3
2867,cricket world cup,3
17159,morality,1
93776,robert zemeckis,2
19207,yosemite national park,3
32437,sheffield,1
6187,industrial revolution,2
1599,book of isaiah,3
23354,south vietnam,2
2598,cnidaria,1
21241,len deighton,2
94147,dependent territory,2
1258,bosnia and herzegovina,3
22983,austronesian languages,2
9403,oliver cromwell,2
3926,english civil war,3
16954,second boer war,3
35034,london borough of barnet,4
3611,dominican order,2
2254,crime,1
6150,international telecommunication union,3
79859,ulster scots dialects,3
275,anguilla,1
86903,disney comics,2
20467,osaka,1
1445,basic,1
7036,kyushu,1
11391,si derived unit,3
35027,london borough of enfield,4
38441,theatre director,2
19861,united states postal service,4
29533,hecuba,1
14483,york,1
7876,massachusetts institute of technology,4
6492,jamaica,1
24537,soul music,2
12848,tunisia,1
10770,qing dynasty,2
72497,chinese mythology,2
22633,sea of okhotsk,3
75384,germans,1
2102,central african republic,3
79422,columbia records,2
15484,space shuttle program,3
22705,sakhalin,1
92044,cinemascope,1
9278,neil gaiman,2
12020,space shuttle columbia,3
9219,national rail,2
9135,north africa,2
9595,poseidon,1
716,arabs,1
621,amiga,1
26561,roundhead,1
3726,european union,2
20822,north east england,3
9647,pacific ocean,2
13871,vanuatu,1
10447,pop music,2
9307,northern hemisphere,2
5872,henry viii of england,4
7577,levant,1
5877,hanover,1
94140,multinational corporation,2
2008,computer data storage,3
1036,antarctic,1
35538,london borough of bromley,4
20654,green day,2
89807,centre val de loire,4
1221,british columbia,2
5509,honduras,1
6550,john lennon,2
19278,centrarchidae,1
3793,epic poetry,2
10456,percussion instrument,2
18995,sesame street,2
91956,presidential system,2
12326,special operations executive,3
6,abraham lincoln,2
20817,charing cross,2
1843,balkans,1
807,advanced micro devices,3
9609,paris,1
8444,musical ensemble,2
5867,hiv,1
24544,united states department of energy,5
14146,west bank,2
2933,cheshire,1
10941,rna,1
22542,ivory coast,2
20585,united states department of justice,5
77242,hawaiian islands,2
9360,oxygen,1
81078,kyrgyzstan,1
809,australian rules football,3
13906,vietnamese language,2
7738,left wing politics,3
76654,extended play,2
13126,taoiseach,1
19940,andaman sea,2
4851,george lucas,2
3403,dublin,1
14989,etruscan civilization,2
79661,navajo nation,2
23521,battle of midway,3
14677,the who,2
8441,mariner program,2
12569,samuel taylor coleridge,3
6010,india,1
29187,chicago loop,2
2495,czech language,2
9370,oman,1
81987,walt disney pictures,3
7869,maryland,1
9159,nbc,1
98706,unincorporated area,2
26187,nottinghamshire,1
4563,federal bureau of investigation,4
17994,magna graecia,2
7235,kriegsmarine,1
22120,hanna barbera,2
19356,river thames,2
6157,illinois,1
6911,kiribati,1
14215,welsh language,2
1201,belgium,1
10981,rhine,1
20748,israelites,1
15078,mycenae,1
6542,john steinbeck,2
46240,pembrokeshire,1
15613,palermo,1
6171,iberian peninsula,2
26231,asturias,1
24356,william wyler,2
3326,domain name system,3
22644,provinces of the netherlands,4
14027,venus,1
6502,jersey,1
9343,ontario,1
78680,cabinet of the united kingdom,5
11700,sudan,1
9019,new testament,2
25726,northamptonshire,1
16778,western christianity,2
75803,municipalities of belgium,3
19797,lancashire,1
6160,iain banks,2
1254,belize,1
2423,cologne,1
25831,lgbt,1
13916,visigoths,1
16008,russian orthodox church,3
10325,perth,1
6609,jainism,1
80486,continental army,2
71791,old world,2
32420,olivia de havilland,3
34,agriculture,1
9399,ohio river,2
1468,brittonic languages,2
10823,rocky mountains,2
15901,dari language,2
82569,capitol records,2
10845,roman empire,2
18505,charles ii of england,4
7641,latin alphabet,2
92127,british overseas territories,3
46365,mabinogion,1
97923,president of argentina,3
84379,southern united states,3
2007,carbon,1
8184,muslims,1
27847,order of the garter,4
7307,libya,1
62953,kalmar county,2
7937,miocene,1
17698,grammy award,2
25093,sultan,1
93117,phasianidae,1
18092,queens,1
99609,animated series,2
10253,pulitzer prize,2
17843,campania,1
249,abbreviation,1
17755,turkic peoples,2
78341,vorarlberg,1
19574,sussex,1
2801,cook islands,2
11464,south korea,2
5218,book of genesis,3
7019,karnataka,1
23563,bruce springsteen,2
20506,representative democracy,2
21504,harlem,1
7906,monty python,2
1262,burkina faso,2
3827,ethernet,1
182,agatha christie,2
170,asteraceae,1
93799,wong kar wai,3
28309,act of congress,3
76483,chinese culture,2
4722,florence,1
9190,nintendo 64,2
11535,schleswig holstein,2
12714,trick taking game,3
84429,science fiction film,3
11926,sikhism,1
91148,kingdom of laos,3
70969,lake tahoe,2
489,amazon river,2
1608,book of judges,3
95634,standardbred,1
3844,edgar allan poe,3
67,atlantic ocean,2
21147,san antonio,2
25989,steven seagal,2
75222,united kingdom of great britain and ireland,7
12920,hebrew bible,2
10193,priam,1
7924,mongols,1
18939,arabian peninsula,2
71994,provinces of sweden,3
29066,bithynia,1
9603,polish language,2
12148,st albans,2
10809,russian language,2
16664,bloomsbury group,2
9450,orthodox judaism,2
28,andorra,1
171,apiaceae,1
20610,arab league,2
2113,chile,1
12748,turkic languages,2
98057,fresh water,2
6467,james bond,2
19902,middle english,2
2865,constantine the great,3
32512,east coast of the united states,6
15343,saxony anhalt,2
71991,firth of forth,3
15547,cape cod,2
14685,gaul,1
30527,list of parishes in louisiana,5
1981,colombia,1
5131,gospel of john,3
34875,royal borough of greenwich,4
10037,prague,1
5012,government,1
117,aegean sea,2
20819,milwaukee,1
12683,texas,1
12490,stone age,2
17907,alans,1
20245,shropshire,1
22489,multituberculata,1
11336,sun,1
78,alberta,1
1883,basel,1
4519,french cuisine,2
5775,hungarian language,2
20906,lepidoptera,1
12774,troy,1
20562,nobel prize in physics,4
3160,dna,1
19827,akkadian language,2
971,atari 2600,2
14826,arctic,1
9330,orson welles,2
34117,military,1
274,athens,1
84544,itv granada,2
17768,coventry,1
8877,north sea,2
8503,motorola,1
7612,linux distribution,2
92620,prime minister of iraq,4
73968,ashkenazi jews,2
15741,telugu language,2
7935,mediterranean sea,2
21799,buckinghamshire,1
5331,gram negative bacteria,3
8757,mickey mouse,2
8893,nevada,1
21215,rubiaceae,1
22777,duke,1
10903,royal air force,3
3426,david,1
11372,spanish language,2
11908,septuagint,1
89062,upper silesia,2
23,animation,1
21224,gothic architecture,2
81413,hordaland,1
1512,british english,2
11335,sri lanka,2
8894,native americans in the united states,6
17949,slough,1
97140,lord chancellor,2
27102,list of premiers of alberta,5
76708,oaxaca,1
14811,quran,1
5396,east germany,2
13540,united kingdom,2
11798,samuel beckett,2
7928,martin scorsese,2
95735,eight immortals,2
11326,south australia,2
6156,indo european languages,3
2722,chicago,1
29018,argonauts,1
6282,isle of wight,3
11968,second vatican council,3
25056,new spain,2
6991,kingdom of jerusalem,3
1250,bangladesh,1
35549,london borough of wandsworth,4
29190,guildford,1
35566,london borough of tower hamlets,5
7341,latin,1
5705,house of commons of the united kingdom,7
8921,northern ireland,2
1962,communication,1
26673,luzon,1
18400,edward iii of england,4
7926,mexico city,2
23157,potomac river,2
19019,berbers,1
13564,united states congress,3
24236,robert redford,2
5989,hasidic judaism,2
11319,swedish language,2
19858,philadelphia,1
28586,provinces and territories of canada,5
8836,maxis,1
6482,joseph stalin,2
2292,council of europe,3
35554,london borough of richmond upon thames,6
1259,botswana,1
8656,maharashtra,1
20740,south east england,3
89624,list of cities and towns in finland,7
96177,iso 3166 2,3
2242,history of china,3
12554,scrooge mcduck,2
12694,americas,1
1257,bolivia,1
5439,gene roddenberry,2
20778,list of spanish monarchs,4
99724,imperial japanese navy,3
111,alfred hitchcock,2
3989,ephesus,1
8889,national football league,3
8113,mozambique,1
18955,zealand,1
9379,old testament,2
9683,petroleum,1
5543,horror film,2
13723,upper peninsula of michigan,4
1251,barbados,1
14675,sparta,1
15463,hesse,1
13358,the adventures of tintin,4
85124,gulf war,2
13804,united states customary units,4
79882,natural history,2
77260,camper van beethoven,3
1427,book of mormon,3
18750,brooklyn,1
3858,extraterrestrial life,2
11420,steven spielberg,2
4204,ancient egyptian religion,3
26871,wales,1
18583,babylonia,1
2904,cyprinidae,1
8887,nobel prize,2
10874,r,1
38846,midwestern united states,3
1446,list of byzantine emperors,4
25222,guangdong,1
26615,anacardiaceae,1
39837,funkadelic,1
3147,delaware,1
77940,coahuila,1
18229,saint lawrence river,3
11969,slovene language,2
73472,duran duran,2
89789,pays de la loire,4
10966,roman republic,2
8188,modernism,1
22332,gelderland,1
3483,disc jockey,2
9108,north dakota,2
2154,cyprus,1
91827,swedish speaking population of finland,5
78062,bbc two,2
7478,lake ontario,2
13919,viking age,2
25712,ancient greece,2
23081,kobe,1
77124,kingdom of great britain,4
4882,guam,1
26659,united arab emirates,3
1220,bible,1
1256,bermuda,1
7987,malawi,1
15015,eastern europe,2
26046,maine et loire,3
71181,german confederation,2
5508,holy see,2
2938,charles i of england,4
11828,sanskrit,1
11481,schutzstaffel,1
16776,peanuts,1
12331,suburb,1
4925,ghana,1
11330,stockholm,1
20833,q ship,2
15759,israel defense forces,3
1874,british army,2
79418,provinces of the philippines,4
793,andhra pradesh,2
2058,china,1
3,a,1
14075,woody allen,2
9952,puget sound,2
10577,prime minister of israel,4
75482,manchu people,2
6335,integrated services digital network,4
9351,ottoman empire,2
15356,mecklenburg vorpommern,2
7545,liverpool,1
24793,logy,1
23079,queensland,1
4451,formula one,2
9094,nicolas louis de lacaille,4
94130,list of cities in serbia,5
2235,compiler,1
11435,san francisco bay,3
5518,hong kong,2
21876,vienna,1
75415,han chinese,2
7390,liberia,1
87638,municipalities of sweden,3
9105,new jersey,2
12091,saxony,1
11911,scouting,1
17564,gary cooper,2
7611,larry niven,2
4463,flanders,1
8209,minnesota,1
79894,yunnan,1
22,ascii,1
26233,extremadura,1
30677,puerto ricans,2
9458,odysseus,1
4605,friesland,1
2560,celts,1
16751,victor hugo,2
13455,tibet,1
19735,canaan,1
11317,stanley kubrick,2
11672,somalia,1
11388,si base unit,3
34868,london borough of hackney,4
17497,mel gibson,2
6620,jerusalem,1
14238,war of the spanish succession,5
21645,north brabant,2
29452,egyptology,1
14857,indonesian language,2
13504,through the looking glass,4
2574,chinese cuisine,2
24348,french first republic,3
85172,1904 summer olympics,3
11333,south dakota,2
73644,slavonia,1
12921,talmud,1
11311,spain,1
9332,ohio,1
8243,mp3,1
26442,norman conquest of england,4
9505,old norse,2
5942,human sexual activity,3
22665,ian fleming,2
1037,albanians,1
84901,wide body aircraft,3
8674,minos,1
19006,carnegie mellon university,3
1333,british isles,2
2038,cambrian,1
6105,internet relay chat,3
14380,war of 1812,3
4855,germany,1
11428,stephen king,2
26821,bedfordshire,1
88628,independent agencies of the united states government,7
15351,governor general of canada,4
13618,uzbekistan,1
119,amsterdam,1
14333,william the conqueror,3
1334,basque language,2
2002,catalan language,2
4449,frank herbert,2
81417,finnmark,1
17613,peter weir,2
22330,drenthe,1
20300,somerset,1
4591,frankie goes to hollywood,4
18031,napoleonic wars,2
24704,columbidae,1
35043,london borough of brent,4
6309,irish mythology,2
686,apple ii series,3
10856,renaissance,1
7102,chios,1
97839,municipalities of finland,3
84,azerbaijan,1
14415,x window system,3
12507,stephen sondheim,2
84711,hong kong island,3
95339,prime minister of france,4
24259,american broadcasting company,3
75999,nickelodeon,1
7932,microsoft,1
11896,savoy,1
128,american civil war,3
23213,spanish missions in california,4
2303,charles dickens,2
2240,chinese language,2
75632,north germanic languages,3
13661,united nations general assembly,4
5277,gsm,1
1992,country music,2
19785,clergy,1
11123,red sea,2
9,academy awards,2
11790,sicily,1
4991,guinea bissau,2
20115,louis xvi of france,4
15018,strasbourg,1
8908,nile,1
89138,count,1
9593,physics,1
10108,ptolemaic dynasty,2
12772,tokyo,1
76344,orisha,1
10578,president of france,3
83399,mca records,2
13588,u,1
27,afroasiatic languages,2
2403,central america,2
3656,dc comics,2
19130,lycia,1
20564,nobel prize in physiology or medicine,6
2178,cornwall,1
3158,digital equipment corporation,3
91295,anatidae,1
2175,comedy film,2
13944,vermont,1
7511,lombards,1
73726,midnight oil,2
12084,superman,1
18141,panthera,1
90506,reprise records,2
8692,mos technology,2
87860,brisbane,1
14503,zeus,1
62992,kronoberg county,2
14087,white house,2
17266,axis powers,2
72182,ukrainians,1
12655,siberia,1
90712,2003 invasion of iraq,4
79000,automotive industry,2
12269,surrealism,1
24,apollo,1
12144,san diego,2
15393,radiohead,1
7477,lake erie,2
8862,netherlands,1
2174,channel islands,2
15951,academy of motion picture arts and sciences,7
12712,tasmania,1
2412,claudius,1
86150,jandek,1
7607,lake champlain,2
9723,palestinians,1
27178,city status in the united kingdom,6
10186,peloponnesian war,2
9636,punk rock,2
26904,second sino japanese war,4
28942,denmark,1
71885,firth of clyde,3
3109,caribbean sea,2
12876,tom clancy,2
9810,paraguay,1
8175,mishnah,1
32315,list of portuguese monarchs,4
3004,commodore international,2
25193,christian democratic appeal,3
19017,alsace,1
33577,sark,1
6940,kansas,1
27850,scheldt,1
4643,frigg,1
3730,easter,1
46238,pashto,1
12216,sumatra,1
20409,eric idle,2
93467,order of the british empire,5
9292,national basketball association,3
24126,charles laughton,2
8933,nuremberg,1
6649,john the baptist,3
2613,cape town,2
4042,eurovision song contest,3
11168,list of polish monarchs,4
3866,edinburgh,1
11329,scandinavia,1
90496,muromachi period,2
12094,silesia,1
12753,terry pratchett,2
22992,metro goldwyn mayer,3
21148,hollywood,1
3792,euclidean geometry,2
8127,middle east,2
14287,westminster system,2
5542,hebrew language,2
155,anglican communion,2
98896,french revolutionary wars,3
27014,newcastle upon tyne,3
75256,kirklees,1
2177,constantinople,1
1061,austria hungary,2
32481,loir et cher,3
6167,ibm mainframe,2
6476,james cameron,2
73783,beck,1
77141,joss whedon,2
21094,gujarat,1
10038,pomeranian language,2
14131,west berlin,2
38652,deftones,1
14141,waffen ss,2
18150,peloponnese,1
7755,louis xiv of france,4
35558,london borough of hillingdon,4
9643,pope,1
17009,elia kazan,2
31994,parliament of canada,3
18838,manchuria,1
7560,los angeles,2
3759,equatorial guinea,2
28462,cadmus,1
2253,computer program,2
21996,poaceae,1
13712,united states air force,4
72177,ionic greek,2
12735,turkish language,2
3751,el salvador,2
97046,old world flycatcher,3
14112,wisconsin,1
11620,senegal,1
25246,sichuan,1
3956,eucharist,1
11380,socialism,1
9494,orkney,1
5478,holy roman empire,3
30444,colchis,1
10101,ptolemy,1
91866,mayor of new york city,5
25708,lockheed martin,2
9210,nato reporting name,3
73046,ireland,1
38364,river bure,2
20905,natural satellite,2
94820,french colonial empire,3
7601,lake ladoga,2
89526,radioactive decay,2
11636,sierra leone,2
11485,scott adams,2
323,andes,1
9898,pinyin,1
4629,felidae,1
9633,portugal,1
92873,universal music group,3
89910,conducting,1
14336,winter war,2
94679,unitary state,2
1260,brunei,1
21362,sunday,1
2222,canary islands,2
7446,luftwaffe,1
81241,peru,1
12578,slavs,1
29852,shigeru miyamoto,2
10179,president of the united states,5
81411,vest agder,2
20190,county seat,2
8204,mississippi river,2
11340,slavic languages,2
8988,niger,1
13798,united states secretary of state,5
87296,high level programming language,4
1109,alexandria,1
5102,germanic peoples,2
15453,list of german monarchs,4
1975,christianity,1
25280,apocalyptic and post apocalyptic fiction,5
11110,rhythm and blues,3
35099,london borough of harrow,4
11439,sun microsystems,2
21140,dallas,1
5195,gothic fiction,2
7499,lucasarts,1
11334,switzerland,1
30689,sahel,1
81412,rogaland,1
63030,norrbotten county,2
22231,list of cities in the netherlands by province,8
3291,debian,1
75553,manchu language,2
5653,helsinki,1
4956,greenland,1
17918,8 bit,2
5848,hertz,1
20859,north west england,3
13538,uralic languages,2
2465,cambridgeshire,1
8299,margaret thatcher,2
3285,danish language,2
10345,pdp 11,2
3689,europe,1
15557,major league baseball,3
9544,oscar hammerstein ii,3
20431,general dynamics,2
12804,tanzania,1
6713,james stewart,2
1248,the bahamas,2
1584,batman,1
13749,unitarianism,1
10524,persian gulf,2
10791,romance languages,2
4811,fantasy film,2
18402,east anglia,2
13728,university of chicago,3
4397,french polynesia,2
8855,nato,1
13630,united states declaration of independence,5
7648,lower peninsula of michigan,4
81986,dire straits,2
12981,theology,1
13562,ukraine,1
37293,hindu mythology,2
